fid,idComunidad,nuevoMapaPastos,cobertura,fitomasaForrajera,energiaMetabolizable,energiaMetabolizableDisponible,capacidadSustentadoraOvinoCaprinoMantenimiento,capacidadSustentadoraOvinoCaprinoProduccion,capacidadSustentadoraGanadoMayorMantenimiento,capacidadSustentadoraGanadoMayorProduccion,volumen_total,field_12
"1","1",Agua,,,,,,,,,,
"2","2",Albaidar,"53","1087",,"2.955,00","0,81","0,57","0,12","0,09",,
"3","3",Borreguil,"92,65151515","553,3393939","4.600,54","2.300,27","0,628117722","0,443325945","0,094217658","0,066498892","0",
"4","4",Cultivos herbáceos,,,,,,,,,,"0"
"5","5",Cultivos leñosos,,,,,,,,,,
"6","6",Cultivos y vegetación natural mesomediterráneo,"68","3057","29.069,40","5.804,50","1,6","1,1","0,24","0,165",,
"7","7",Cultivos y vegetación natural supramediterráneo,"68","3965","37.079,70","7.259,06","1,98878","1,4","0,298317","0,21",,
"8","8",Encinar,"137,3265382","1442,003414","9.937,63","7.819,01","2,135081096","1,50694179","0,320262164","0,226041269","2380,729068",
"9","9",Encinar aclarado,"50,20338125","1305,518429","8.675,62","5.312,67","1,450693243","1,023900346","0,217603986","0,153585052","1502,633032",
"10","10",Enebral-piornal,"127,0975028","2204,698865","19.612,85","7.988,71","0,230947261","2,181420826","0,327213124","0,327213124","3788,003379",
"11","11",Espartal,"25","429",,"974,00","0,27","0,19","0,04","0,03",,
"12","12",Espinar caducifolio,"54","2030",,"4.487,00","1,23","86","0,18","0,13",,
"13","13",Frutal/Huerta,,,,,,,,,,
"14","14",Galería arbustiva,"87","2200",,"6.700,00","1,83","1,29","0,27","0,19",,
"15","15",Improductivo,"28","656",,"971,00","0,27","0,19","0,04","0,03",,
"16","16",Jaral y bolinar,"31,67562934","1110,095145","7.660,65","3.963,25","1,082216601","0,763829263","0,16233249","0,11457439","1204,108089",
"17","17",Lastonar,"12","1103",,"3.387,00","0,92","0,65","0,14","0,1",,
"18","18",Matorral con sabinas,"52,48218141","1912,764664","16.797,33","4.131,61","1,12819006","0,796277365","0,169","0,119441605","940,2565347",
"19","19",Matorral retamoide,"49,73984862","1482,829769","13.805,94","9.322,42","2,54560607","1,796690615","0,381840911","0,269503592","2862,421925",
"20","20",Mezcla de coníferas y frondosas,"30","612",,"2.075,00","0,57","0,4","0,08","0,06",,
"21","21",Mezcla de frondosas,"90,3116986","2257,674385","20.993,26","10.176,58","2,778845671","1,961311295","0,416826851","0,294196694","5489,368755",
"22","22",Mezcla de quercineas,"49","2396",,"8.699,00","2,38","1,68","0,36","0,25",,
"23","23",Mosaico de cultivos,,,,,,,,,,
"24","24",Pastizal higrófilo,"92","985",,"5.905,00","1,61","1,14","0,24","0,17",,
"25","25",Pastizal psicroxerófilo,"30","1756,6","11.066,58","5.533,29","1,510936169","1,066419846","0,226640425","0,159962977","0",
"26","26",Pasto xerofítico,,,,,,,,,,
"27","27",Pedregal,"37,57835227","656,4410445","4.155,94","971,05","0,265157345","0,187148247","0,039773602","0,028072237","72,03274694",
"28","28",Pinar aclarado,"37","1637",,"2.930,00","0,8","56","0,12","0,08",,
"29","29",Pinar denso,,,,,,,,,,
"30","30",Piornal,"87,31328072","2845,407458","26.039,47","10.805,34","2,9505368","2,082491018","0,44258052","0,312373653","3436,325082",
"31","31",Prado,"86","977,76","8.317,64","4.158,82","1,135619989","0,801521414","0,170342998","0,120228212","0",
"32","32",Robledal,"62,63286215","1508,952858","13.139,00","9.351,50","2,553547346","1,802295573","0,383032102","0,270344336","3667,517732",
"33","33",Robledal aclarado,"34,29717621","748,1052322","5.980,29","3.305,18","0,902521765","0,637000518","0,135378265","0,095550078","1154,281604",
"34","34",Romeral,"91,49666931","1653,073297","8.725,17","3.592,60","0,981006706","0,692395247","0,147151006","0,103859287","3940,246504",
"35","35",Sabinar,"250,269494","929,5057423","5.135,56","2.045,52","0,558556206","0,394229376","0,083783431","0,059134406","13883,87768",
"36","36",Tomillar,"38,68265905","1008,973527","6.960,57","1.999,26","0,5459235","0,385313203","0,082","0,05779698","552,4382306",
"37",,,,,,,,,,,,
"38",,,,,,,,,,,,
